condition,seed,Q_E,Q_P,Q_C,Q_F,Q_S,ULVI,viable,acc_clean,eps,mean_len,fano_L_min,C_eta,frontier_slack,mean_abs_w,sparsity_cutoff,n_params,zipf_alpha_ols,zipf_alpha_mle,zipf_ks,zipf_n_types,heaps_beta,abbrev_rho_spearman,abbrev_tau_kendall,mean_length,signal_entropy_bits
least_effort,4,0.3802752400372707,0.32522868164067487,0.2816876620054245,0.7036307198660714,0.38001526885759,0.39250040604937925,False,0.2349853515625,0.7650146484375,3.0745849609375,0.042430266826562764,2.250268914204958,3.0321546941109374,0.1436624675989151,0.004590630531311035,26576,2.434543429676663,1.565025729891427,0.1267242852631289,65,0.34855716928756286,-0.06014007668071662,-0.048264702372388286,3.0745849609375,3.097672418456409
task_only,0,0.7347673690857521,0.6000869731561611,0.1539684683084488,0.0907156808035714,0.7308640147396158,0.3393618030460023,False,0.546630859375,0.453369140625,7.364990234375,1.0575483772772083,2.250268914204958,6.307441857097792,0.16920630633831024,0.00470346212387085,26576,1.252163852076516,1.1007521945159668,0.06823695503424976,758,0.6319791409564287,-0.0552014207928252,-0.047783553393913984,7.364990234375,6.5272624123427505
task_only,1,0.6149470196166389,0.46466511601493876,0.24634426832199097,0.0,0.606851124553934,0.0,False,0.4229736328125,0.5770263671875,8.0,0.62308686292986,2.250268914204958,7.37691313707014,0.1507311463356018,0.0043648481369018555,26576,1.7906477995760701,1.2317198847522592,0.09132540183475435,209,0.4699677996489446,,,8.0,4.883788475429891
task_only,2,0.7520710338320815,0.6278749394341332,0.13860104978084564,0.0560477120535714,0.7488672980400763,0.30744841408326407,False,0.6121826171875,0.3878173828125,7.607666015625,1.3039118746702305,2.250268914204958,6.303754140954769,0.17227979004383087,0.003838062286376953,26576,1.2603250279246527,1.1344096944827917,0.03998783034624054,721,0.6985961101026985,-0.13763029995029105,-0.1190063467878669,7.607666015625,6.29323517780612
task_only,3,0.7017356958627061,0.49828455636179403,0.17357437312602997,0.008771623883928603,0.7016739167362847,0.2062863003669593,False,0.5089111328125,0.4910888671875,7.9385986328125,0.9208540854577167,2.250268914204958,7.017744547354783,0.165285125374794,0.003838062286376953,26576,1.2387049482388142,1.1864161658348522,0.03249850289585454,697,0.6491347740650353,0.1251388564696013,0.11027386172485568,7.9385986328125,5.95945780331853
task_only,4,0.6434861952522664,0.47171954578412356,0.15669217705726624,0.036900111607142905,0.6405874383037994,0.2571433536755391,False,0.501220703125,0.498779296875,7.74169921875,0.8934329852235009,2.250268914204958,6.848266233526499,0.16866156458854675,0.003536999225616455,26576,1.5801848935567584,1.1990307814952526,0.0614367858381234,319,0.5666892600192411,0.01905773689665512,0.016407528244366452,7.74169921875,5.37557511042227
random,0,0.0008914616005159876,0.0009764721509864446,0.539915919303894,0.3415178571428571,0.0,0.0,False,0.087890625,0.912109375,5.609375,0.0,2.250268914204958,5.609375,0.09201681613922119,0.007412731647491455,26576,0.23443376475547717,0.5765833542659481,0.13237208669431655,6275,0.9529382574477732,-0.40936222577852194,-0.3797576842850744,5.609375,11.836307263703755
random,1,9.238308390951754e-05,8.57620385942291e-05,0.5686617121100426,0.3568812779017857,0.0,0.0,False,0.0927734375,0.9072265625,5.5018310546875,0.0,2.250268914204958,5.5018310546875,0.08626765757799149,0.0071492791175842285,26576,0.24546991358828965,0.5830595470190756,0.13062765128929454,6202,0.9788816434303466,-0.42237533206659034,-0.3896022942594284,5.5018310546875,11.799526708422807
random,2,0.00023442486058129238,0.00027973652408928417,0.5644720271229744,0.3759765625,0.00030758001374828285,0.005324794235109967,False,0.0980224609375,0.9019775390625,5.3681640625,0.0,2.250268914204958,5.3681640625,0.08710559457540512,0.007224559783935547,26576,0.2586231551944901,0.6084165262606049,0.13283051036965465,6032,0.9510448675031506,-0.4277023979870796,-0.3935826494121341,5.3681640625,11.66707079792165
random,3,0.0014330810726351632,0.0013910445790351264,0.5353319495916367,0.3866141183035714,0.0,0.0,False,0.0899658203125,0.9100341796875,5.293701171875,0.0,2.250268914204958,5.293701171875,0.09293361008167267,0.006961166858673096,26576,0.2671924384278924,0.6204937480145682,0.1326797090220998,5935,0.9483921676565219,-0.4274464199740126,-0.3927097017272696,5.293701171875,11.594892451703497
random,4,0.0,0.0,0.5720666646957397,0.3304617745535714,0.0012617649188232504,0.0,False,0.0927734375,0.9072265625,5.686767578125,0.0,2.250268914204958,5.686767578125,0.08558666706085205,0.007864236831665039,26576,0.22104242786871098,0.5690876280125541,0.1331319354392878,6343,0.9566155795336363,-0.3959522809889658,-0.36849843545313477,5.686767578125,11.865043291227352
