condition,seed,generation,drift,viable,ULVI,Q_E,Q_P,Q_C,Q_F,Q_S,acc_clean,mean_len,alpha,rho_estimate,first_nonviable_generation
least_effort,2,-1,,,,,,,,,,,,1.032865991445841,0.0
least_effort,3,0,0.5625,False,0.41851916873029554,0.5215419143899938,0.44738233356307305,0.17077146470546722,0.736572265625,0.4375,0.3492431640625,2.843994140625,1.3410512282411802,,
least_effort,3,1,0.546875,False,0.3788439785353465,0.464679220454933,0.40098882603536684,0.12440739572048187,0.7429373604910714,0.453125,0.3045654296875,2.7994384765625,1.2236485136349453,,
least_effort,3,2,0.83203125,False,0.2599138952334036,0.30010992326854674,0.2670050753892798,0.09592606127262115,0.9187186104910714,0.16796875,0.13134765625,1.5689697265625,1.669732709761316,,
least_effort,3,3,0.83984375,False,0.24067918166722146,0.3986134431144649,0.32775195884258895,0.051750004291534424,0.7458321707589286,0.16015625,0.2738037109375,2.7791748046875,1.3718353268342478,,
least_effort,3,4,0.75,False,0.22550788972911348,0.3493649747236762,0.30092191048580796,0.025290682911872864,0.8773542131696429,0.25,0.2099609375,1.8585205078125,1.3729193956141572,,
least_effort,3,5,0.734375,False,0.0,0.35544669413592384,0.30592317609371567,0.0,0.9489048549107143,0.265625,0.149658203125,1.357666015625,1.4100304129377483,,
least_effort,3,6,0.67578125,False,0.0,0.33008256396897273,0.2816061491974118,0.0,0.9445277622767857,0.32421875,0.142578125,1.3883056640625,1.5261204613725872,,
least_effort,3,7,0.51171875,False,0.0,0.33426383178208924,0.2910804110676454,0.0,0.9474923270089286,0.48828125,0.1690673828125,1.3675537109375,1.4993643729456712,,
least_effort,3,8,0.6875,False,0.0,0.4014011295544596,0.34439184056718253,0.0,0.9473702566964286,0.3125,0.2120361328125,1.368408203125,1.3088169130763387,,
least_effort,3,9,0.6640625,False,0.0,0.27879182376336087,0.2169954570066967,0.0,0.9983258928571429,0.3359375,0.1058349609375,1.01171875,1.5419392933158471,,
least_effort,3,10,0.5546875,False,0.0,0.2074138986994651,0.1626439753364419,0.0,1.0,0.4453125,0.1075439453125,1.0,1.6193356043862437,,
least_effort,3,11,0.265625,False,0.0,0.09713063105962642,0.07793732261022865,0.0,1.0,0.734375,0.063720703125,1.0,2.886037241594458,,
least_effort,3,-1,,,,,,,,,,,,0.959128071157263,0.0
least_effort,4,0,0.57421875,False,0.3703757127053281,0.3333358332177566,0.2855249139340727,0.23258468508720398,0.7394670758928572,0.42578125,0.16015625,2.82373046875,1.5667327474114137,,
least_effort,4,1,0.5078125,False,0.329424018794052,0.22426796289823478,0.18163696990292316,0.19777363538742065,0.9783761160714286,0.4921875,0.16552734375,1.1513671875,2.057370075275518,,
least_effort,4,2,0.3359375,False,0.30096161838844704,0.1673604837680815,0.13184848422956197,0.16850723326206207,1.0,0.6640625,0.1064453125,1.0,2.1966935923738906,,
least_effort,4,3,0.24609375,False,0.25236765494374724,0.11231729387274807,0.09179107395299627,0.13170553743839264,1.0,0.75390625,0.124267578125,1.0,,,
least_effort,4,4,0.9921875,False,0.11325964856338575,0.15703914342310615,0.13089646506166214,0.11605134606361389,1.0,0.0078125,0.1170654296875,1.0,,,
least_effort,4,5,0.59375,False,0.24057449608555248,0.18656312141926967,0.14708928395242754,0.07228492200374603,1.0,0.40625,0.1475830078125,1.0,1.444363230773599,,
least_effort,4,6,0.5,False,0.22705140791197165,0.2704856098186471,0.22303793884406037,0.0204484760761261,0.9782889229910714,0.5,0.1763916015625,1.1519775390625,1.5101726722893962,,
least_effort,4,7,0.7890625,False,0.0,0.10277056265605015,0.10337286051249199,0.0,0.9272809709821429,0.2109375,0.09375,1.509033203125,,,
least_effort,4,8,0.93359375,False,0.0,0.34019575123831935,0.3332106387781694,0.0,0.3994838169642857,0.06640625,0.2208251953125,5.20361328125,1.492015991812885,,
least_effort,4,9,0.77734375,False,0.0,0.2985306640930369,0.3112992659997634,0.0,0.3578927176339286,0.22265625,0.1304931640625,5.4947509765625,1.7520573831410502,,
least_effort,4,10,0.984375,False,0.0,0.21537673724256468,0.18565722626429054,0.0,0.9562813895089286,0.015625,0.1563720703125,1.3060302734375,1.783382342062604,,
least_effort,4,11,0.625,False,0.0,0.1016389390767244,0.0899663493274066,0.0,0.9766148158482143,0.375,0.132080078125,1.1636962890625,2.8711880044696416,,
